frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
595,4.9156878,243.3920081,392.000061,56.16738649,90.46155254,0,0.230769231,0,0,0,,,,
596,4.9276892,243.4128061,392.000061,56.17218602,90.46155254,0,0.230769231,0.004799537,-6.85E-09,0,,,,
597,4.9326773,243.4315783,392.000061,56.17651807,90.46155255,0,0.230769231,0.009131581,-8.56E-09,0,,,,
598,4.9441017,243.3640477,392.000061,56.16093408,90.46155255,0,0.230769231,-0.006452407,-8.99E-09,0,0.097271742,-1.96E-07,0.097271742,0
599,4.9483778,243.3680505,392.000061,56.16185781,90.46155255,0,0.230769231,-0.005528681,-9.10E-09,0,0.217518739,-8.19E-08,0.217518739,0
600,4.960942,243.3879797,392.000061,56.16645686,90.46155255,0,0.230769231,-0.000929627,-9.13E-09,0,0.128645193,-1.32E-08,0.128645193,0
601,4.965984,243.4098535,392.000061,56.17150466,90.46155255,0,0.230769231,0.00411817,-9.13E-09,0,0.56985255,-5.75E-09,0.56985255,0
602,4.9770298,243.4301535,392.000061,56.17618927,90.46155255,0,0.230769231,0.008802783,-9.13E-09,0,0.186712051,-7.41E-10,0.186712051,0
603,4.9819371,243.4480573,392.000061,56.18032092,90.46155255,0,0.230769231,0.012934435,-9.13E-09,0,0.135682309,-3.16E-10,0.135682309,0
604,4.9912612,243.3793826,392.000061,56.16447292,90.46155255,0,0.230769231,-0.002913568,-9.13E-09,0,0.011359446,-5.09E-11,0.011359446,0
605,4.9968762,243.3820809,392.000061,56.1650956,90.46155255,0,0.230769231,-0.00229089,-9.13E-09,0,0.089158199,-2.05E-11,0.089158199,0
606,5.0081414,243.4006083,392.000061,56.16937114,90.46155255,0,0.230769231,0.001984653,-9.13E-09,0,0.019339968,-3.15E-12,0.019339968,0
607,5.0139382,243.421033,392.000061,56.17408453,90.46155255,0,0.230769231,0.006698042,-9.13E-09,0,0.406289316,-1.01E-12,0.406289316,0
608,5.0227754,243.4399064,392.000061,56.17843993,90.46155255,0,0.230769231,0.011053445,-9.13E-09,0,0.492233249,0.000175799,0.492233281,0
609,5.039002,243.456435,392.000061,56.18225424,90.46155255,0,0.230769231,0.01486775,-9.13E-09,0,0.082559805,0.000307901,0.082560379,0
610,5.045011,243.4705121,392.0000381,56.18550279,90.46154726,0,0.230769231,0.018116307,5.27E-06,0,-0.086060313,0.000583623,0.086062292,0
611,5.0550069,243.3982257,392.0000095,56.16882132,90.46154066,0,0.230769231,0.001434832,1.19E-05,0,-0.494013394,0.000720789,0.494013919,0
612,5.0600355,243.397572,391.9999795,56.16867047,90.46153373,0,0.230769231,0.00128398,1.88E-05,0,-0.458835071,0.000804606,0.458835776,0
613,5.070264,243.3290073,391.9999491,56.15284783,90.46152671,0,0.230769231,-0.014538657,2.58E-05,0,-0.478237569,0.000635742,0.478237992,0
614,5.0744487,243.3364594,391.9999415,56.15456756,90.46152496,0,0.230769231,-0.012818927,2.76E-05,0,0.070996139,0.000507542,0.070997954,0
615,5.0870925,243.3607643,391.9999396,56.16017638,90.46152452,0,0.230769231,-0.007210103,2.80E-05,0,0.183755277,0.000232341,0.183755424,0
616,5.0927109,243.3869936,391.9999391,56.16622929,90.46152441,0,0.230769231,-0.001157194,2.81E-05,0,0.684746846,9.54E-05,0.684746852,0
617,5.103244,243.4113579,391.999939,56.17185183,90.46152439,0,0.230769231,0.004465343,2.82E-05,0,0.681231744,1.17E-05,0.681231744,0
618,5.1084464,243.4329558,391.999939,56.17683594,90.46152438,0,0.230769231,0.009449456,2.82E-05,0,0.019884931,4.73E-06,0.019884932,0
619,5.1194082,243.4516418,391.999939,56.18114811,90.46152438,0,0.230769231,0.013761621,2.82E-05,0,-0.547781984,8.33E-07,0.547781984,0
620,5.1249055,243.3834373,391.999939,56.16540862,90.46152438,0,0.230769231,-0.001977871,2.82E-05,0,-0.560442554,3.14E-07,0.560442554,0
621,5.1355367,243.3023108,391.999939,56.1466871,90.46152438,0,0.230769231,-0.020699391,2.82E-05,0,-0.642490921,5.03E-08,0.642490921,0
622,5.1396105,243.3106164,391.999939,56.14860379,90.46152438,0,0.230769231,-0.018782692,2.82E-05,0,-0.404233558,1.91E-08,0.404233558,0
623,5.1514723,243.338774,391.999939,56.15510168,90.46152438,0,0.230769231,-0.012284805,2.82E-05,0,0.280933166,3.52E-09,0.280933166,0
624,5.1559072,243.3692279,391.999939,56.16212953,90.46152438,0,0.230769231,-0.005256962,2.82E-05,0,-0.02616721,1.51E-09,0.02616721,0
625,5.1675104,243.3975209,391.999939,56.16865867,90.46152438,0,0.230769231,0.001272185,2.82E-05,0,-0.074489444,2.01E-10,0.074489444,0
626,5.1716402,243.3385274,391.999939,56.15504479,90.46152438,0,0.230769231,-0.012341699,2.82E-05,0,-0.831239437,8.83E-11,0.831239437,0
627,5.183124,243.3499173,391.999939,56.15767323,90.46152438,0,0.230769231,-0.009713253,2.82E-05,0,-1.407491847,1.27E-11,1.407491847,0
628,5.1872513,243.2920425,391.999939,56.14431749,90.46152438,0,0.230769231,-0.023068992,2.82E-05,0,-1.282411333,5.31E-12,1.282411333,0
629,5.1992244,243.2247707,391.999939,56.12879324,90.46152438,0,0.230769231,-0.038593244,2.82E-05,0,-0.466173375,4.95E-13,0.466173375,0
630,5.2035065,243.2468169,391.999939,56.13388083,90.46152438,0,0.230769231,-0.03350566,2.82E-05,0,-0.964496916,-0.000244696,0.964496947,0
631,5.2155035,243.2876106,391.999939,56.14329475,90.46152438,0,0.230769231,-0.024091733,2.82E-05,0,-0.542687954,-0.000359506,0.542688073,0
632,5.2198206,243.2452806,391.9999619,56.1335263,90.46152966,0,0.230769231,-0.033860185,2.29E-05,0,-0.832528897,-0.000670994,0.832529167,0
633,5.231322,243.1891163,391.9999905,56.12056531,90.46153626,0,0.230769231,-0.046821179,1.63E-05,0,-1.252757007,-0.000791864,1.252757258,0
634,5.2357732,243.1361539,392.0000205,56.10834321,90.46154319,0,0.230769231,-0.059043279,9.34E-06,0,-1.520704728,-0.000813835,1.520704946,0
