frame,t_s,x_px_filt,y_px_filt,x_mm,y_mm,vx_mm_s,vy_mm_s,mm_per_px
0,0.0,418.5,394.5,116.25,109.58333333333334,0.0,0.0,0.2777777777777778
1,0.03333333333333333,418.5,394.99066162109375,116.25,109.7196282280816,0.0,4.088846842447917,0.2777777777777778
2,0.06666666666666667,418.5,395.0770568847656,116.25,109.7436269124349,0.0,0.7199605305989584,0.2777777777777778
3,0.1,418.86090087890625,394.7281188964844,116.35025024414062,109.64669969346788,3.00750732421875,-2.907816569010417,0.2777777777777778
4,0.13333333333333333,418.6829833984375,393.59771728515625,116.30082872178819,109.33269924587674,-1.4826456705729167,-9.420013427734375,0.2777777777777778
5,0.16666666666666666,418.5838928222656,392.45025634765625,116.27330356174046,109.01396009657118,-0.8257548014322917,-9.562174479166668,0.2777777777777778
6,0.2,418.5281677246094,391.6036682128906,116.25782436794705,108.77879672580296,-0.46437581380208337,-7.054901123046875,0.2777777777777778
7,0.23333333333333334,418.4993896484375,391.51983642578125,116.24983045789931,108.75551011827257,-0.23981730143229169,-0.6985982259114584,0.2777777777777778
8,0.26666666666666666,418.77679443359375,391.8703308105469,116.32688734266493,108.85286966959636,2.31170654296875,2.920786539713542,0.2777777777777778
9,0.3,418.6502380371094,393.0141296386719,116.29173278808594,109.17059156629774,-1.0546366373697917,9.531656901041668,0.2777777777777778
10,0.3333333333333333,418.5660095214844,393.6990051269531,116.26833597819011,109.36083475748698,-0.701904296875,5.707295735677084,0.2777777777777778
11,0.36666666666666664,418.5169372558594,394.0497131347656,116.25470479329428,109.458253648546,-0.408935546875,2.9225667317708335,0.2777777777777778
12,0.4,418.4927673339844,394.18743896484375,116.24799092610678,109.49651082356772,-0.201416015625,1.1477152506510417,0.2777777777777778
13,0.43333333333333335,418.4840393066406,393.6288757324219,116.24556647406685,109.34135437011719,-0.07273356119791667,-4.654693603515625,0.2777777777777778
14,0.4666666666666667,418.483642578125,392.6859436035156,116.2454562717014,109.07942877875435,-0.003306070963541667,-7.857767740885417,0.2777777777777778
