frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
0,0.0,639.5,414.2264404296875,426.3333333333333,276.1509602864583,-90.0,0.6666666666666666,0.0,0.0,16.36018218994141,,,,
1,0.0083333,662.1383666992188,558.557861328125,441.42557779947913,372.3719075520833,85.8150863647461,0.6666666666666666,15.092244466145814,96.220947265625,33.64491577148438,,,,
2,0.0166666,667.48828125,572.599609375,444.9921875,381.73307291666663,85.98582458496094,0.6666666666666666,18.658854166666686,105.58211263020831,50.97162475585938,,,,
3,0.0249999,655.2155151367188,558.569580078125,436.81034342447913,372.3797200520833,86.42366790771484,0.6666666666666666,10.477010091145814,96.228759765625,86.22534484863282,1681.7341073075233,138.07379448267787,1998.2589695983781,2003.0235351346266
4,0.0333332,652.1981811523438,547.2254638671875,434.7987874348958,364.8169759114583,86.633544921875,0.6666666666666666,8.4654541015625,88.666015625,86.31604766845703,1269.974037415681,-262.67780852373323,-489.7734434687744,555.7676286165755
5,0.0416665,648.1295776367188,539.1171264648438,432.0863850911458,359.41141764322913,86.26860046386719,0.6666666666666666,5.7530517578125,83.26045735677081,86.43215637207031,854.1313584199653,-538.1925824578303,-776.7648258093029,944.994629840395
6,0.0499998,645.7210693359375,527.9471435546875,430.480712890625,351.96476236979163,86.26860046386719,0.6666666666666666,4.147379557291686,75.81380208333331,86.56028900146484,9.790432228135435,-631.8374882874522,-535.4054619343477,828.1772879489805
7,0.0583331,633.8513793945312,524.052001953125,422.5675862630208,349.3680013020833,86.56636810302734,0.6666666666666666,-3.7657470703125,73.217041015625,86.56028900146485,6.5873920722246755,-961.5888072927289,-23.027435859743548,961.8644899947849
8,0.0666664,615.725830078125,525.1068725585938,410.48388671875,350.0712483723958,87.0643310546875,0.6666666666666666,-15.849446614583314,73.9202880859375,86.63327789306642,-0.43473074282908275,-1318.558985173441,376.45658395133654,1371.2466433803672
9,0.0749997,592.09912109375,545.7862548828125,394.7327473958333,363.8575032552083,86.633544921875,0.6666666666666666,-31.6005859375,87.70654296875,86.59052124023438,-7.726312643531283,-1575.2123555369228,929.6238356828437,1829.0692826970396
10,0.083333,565.719970703125,562.6455688476562,377.14664713541663,375.0970458984375,86.633544921875,0.6666666666666666,-49.186686197916686,98.94608561197919,86.41404266357422,-8.384286466833577,-1402.9528774365094,1470.1445524532107,2032.14216565063
11,0.09166629999999999,547.2706909179688,586.0484008789062,364.8471272786458,390.6989339192708,86.05481719970703,0.6666666666666666,-61.4862060546875,114.5479736328125,86.23836059570314,-13.245096925700139,-1120.999601185905,1638.119833729335,1984.9626433553813
