frame,t_s,x_px_filt,y_px_filt,x_mm,y_mm,angle_deg_raw,mm_per_px,angle_deg_unwrapped,angular_vel_dps
0,0.0,565.7138061523438,260.4873046875,56.571380615234375,26.04873046875,-90.0,0.1,-47.80724906921387,
1,0.0833333,566.0853271484375,258.1163024902344,56.608532714843754,25.811630249023438,-90.0,0.1,-34.16753044128418,
2,0.1666666,565.6471557617188,256.9531555175781,56.56471557617188,25.695315551757815,-59.036245346069336,0.1,-21.480540084838864,
3,0.2499999,569.2937622070312,258.7975769042969,56.929376220703126,25.879757690429688,68.19859313964844,0.1,-12.480540084838864,165.17034225221894
4,0.3333332,572.8497314453125,260.4136657714844,57.28497314453125,26.041366577148438,63.43495178222656,0.1,-3.480540084838866,130.14845568487058
5,0.4166665,572.7510375976562,260.4596252441406,57.27510375976563,26.045962524414065,-45.0,0.1,21.013699340820317,47.6508689748984
6,0.4999998,570.9685668945312,259.55712890625,57.096856689453126,25.955712890625,-45.0,0.1,20.06097106933594,4.450851694891462
7,0.5833331,570.055908203125,259.1107482910156,57.005590820312506,25.911074829101565,63.43495178222656,0.1,-1.6260192871093722,34.899640729875806
8,0.6666664,570.5993041992188,260.211669921875,57.059930419921876,26.021166992187503,63.43495178222656,0.1,-10.626019287109372,-21.002234963393995
9,0.7499997,570.4392700195312,261.19586181640625,57.04392700195313,26.119586181640628,-45.0,0.1,11.060971069335942,-70.7644838721998
10,0.833333,569.6101684570312,262.7366027832031,56.96101684570313,26.273660278320314,-90.0,0.1,12.262771606445316,-40.31569483721547
11,0.9166663,570.8118286132812,267.76422119140625,57.08118286132813,26.776422119140626,63.43495178222656,0.1,-9.424218749999998,2.884322442791447
12,0.9999996,572.9821166992188,273.53887939453125,57.298211669921876,27.353887939453127,69.44395446777344,0.1,-18.424218749999998,-49.16447523219635
13,1.0833329,575.2620239257812,277.4768371582031,57.52620239257813,27.747683715820315,-45.0,0.1,-9.424218749999998,-102.44000313420437
14,1.1666662,575.9931640625,278.18243408203125,57.599316406250004,27.818243408203127,-90.0,0.1,-9.424218749999998,1.6575922157713663
15,1.2499995000000002,577.0675048828125,278.6100158691406,57.70675048828125,27.861001586914064,-45.0,0.1,-30.420545959472655,44.857609495778284
16,1.3333328,577.6803588867188,279.384765625,57.768035888671875,27.9384765625,63.43495178222656,0.1,-8.733555603027341,23.257600855774843
17,1.4166661,578.4607543945312,281.5003967285156,57.84607543945313,28.150039672851562,-35.537681579589844,0.1,0.2664443969726591,-28.791196819212953
18,1.4999994,578.6272583007812,284.93377685546875,57.862725830078126,28.493377685546875,63.43495178222656,0.1,0.2664443969726591,70.72279074028839
19,1.5833327000000001,579.1094970703125,287.68292236328125,57.91094970703125,28.768292236328126,-45.0,0.1,-21.420545959472655,-54.97481324969078
20,1.666666,579.4349975585938,287.8961181640625,57.94349975585938,28.78961181640625,-45.0,0.1,-0.9527282714843732,-98.17483052969766
21,1.7499993,579.2452392578125,286.78076171875,57.92452392578125,28.678076171875002,-45.0,0.1,-31.63971862792969,-119.7748391697011
22,1.8333326,579.4572143554688,287.5826416015625,57.94572143554688,28.75826416015625,66.80140686035156,0.1,-40.63971862792969,-67.7260414947133
23,1.9166659000000001,579.2920532226562,289.5740661621094,57.92920532226563,28.95740661621094,-90.0,0.1,-49.63971862792969,-192.11352899384897
24,1.9999992,579.1624145507812,290.8934631347656,57.91624145507813,29.089346313476565,-90.0,0.1,-49.63971862792969,-96.86471403885432
25,2.0833325,580.2305908203125,292.3391418457031,58.02305908203125,29.233914184570313,-90.0,0.1,-81.0,0.0
26,2.1666658,580.5502319335938,292.4039611816406,58.055023193359375,29.240396118164064,-45.0,0.1,-72.0,39.29756576785441
27,2.2499991,580.0966186523438,292.5346984863281,58.00966186523438,29.253469848632815,-90.0,0.1,-40.63971862792969,39.29756576785441
28,2.3333324,579.92724609375,293.20269775390625,57.992724609375,29.320269775390628,-45.0,0.1,-33.26573944091797,188.21107748169652
29,2.4166657000000002,579.276123046875,293.4792785644531,57.9276123046875,29.347927856445313,66.80140686035156,0.1,-33.26573944091797,218.65986651668112
30,2.4999990000000003,579.6398315429688,293.73773193359375,57.963983154296876,29.373773193359376,-53.130104064941406,0.1,-2.578749084472655,141.77926203397064
31,2.5833323,578.68115234375,292.90838623046875,57.868115234375004,29.290838623046877,-45.0,0.1,19.10824127197266,127.98415641827214
32,2.6666656,578.3680419921875,292.83441162109375,57.836804199218754,29.283441162109376,63.43495178222656,0.1,18.434950256347662,127.98415641827214
33,2.7499989,579.6878662109375,290.7727355957031,57.968786621093756,29.077273559570315,63.43495178222656,0.1,20.06097106933594,50.91534141105869
34,2.8333322,581.8811645507812,286.01605224609375,58.18811645507813,28.601605224609376,63.43495178222656,0.1,20.06097106933594,-47.75348223615849
