frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,angle_deg,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
3480,28.8794406,198.932407,299.5745334,44.04498645,66.32783701,0.105238836,-32.89476116,0.221406794,0.981371495,-0.902116424,-32.96811009,0.595037527,-0.4998956,0.777152024,5.267059462
3481,28.8838663,198.9482316,299.594439,44.04849013,66.33224425,0.232864173,-32.76713583,0.221406794,0.984875173,-0.906523663,-32.93458027,0.7504392,-0.726781721,1.044686873,6.040826715
3482,28.8934251,198.979459,299.6010405,44.0554041,66.33370586,0.258389241,-32.74161076,0.221406794,0.991789137,-0.907985272,-32.8023018,0.741740617,-0.683088851,1.008359818,4.715834223
3483,28.8969647,198.997474,299.6299736,44.05939274,66.34011184,0.263494254,-32.73650575,0.221406794,0.995777778,-0.914391252,-32.80304825,0.469530325,-0.703560058,0.845846015,2.053964502
3484,28.9093225,198.9973086,299.6415785,44.05935611,66.34268124,0.128504515,-32.87149549,0.221406794,0.995741148,-0.916960659,-32.83039969,0.288956054,-0.516776311,0.592075465,-2.057316827
3485,28.9130691,198.9923806,299.6475238,44.05826502,66.34399759,0.101506567,-32.89849343,0.221406794,0.994650058,-0.918277001,-32.86307213,0.075342697,-0.506702656,0.512273466,-6.388191656
3486,28.9253423,198.9862162,299.6509557,44.05690018,66.34475742,0.096106977,-32.90389302,0.221406794,0.993285217,-0.919036833,-33.02238127,-0.206300335,-0.114494859,0.23594258,-8.593701862
3487,28.9294188,198.9798686,299.6528436,44.05549477,66.34517542,0.09502706,-32.90497294,0.221406794,0.991879812,-0.919454833,-33.0542431,-0.292252576,-0.058410214,0.298032416,-9.643547822
3488,28.9411593,198.9649493,299.6448241,44.05219154,66.34339984,-0.533051473,-33.53305147,0.221406794,0.988576583,-0.917679253,-33.18618798,-0.280872688,0.042564091,0.284079511,-9.976870689
3489,28.9446955,198.958038,299.643666,44.05066134,66.34314344,-0.030804631,-33.03080463,0.221406794,0.98704638,-0.91742286,-33.21257695,-0.320172193,0.068965536,0.327515615,-8.907841193
3490,28.9572928,198.9447059,299.6349308,44.04770952,66.3412094,-0.558217811,-33.55821781,0.221406794,0.984094556,-0.915488817,-33.34342726,-0.289274122,0.118000103,0.312415656,-7.42584557
3491,28.9607204,198.9399423,299.6338456,44.04665484,66.34096914,-0.035837898,-33.0358379,0.221406794,0.983039875,-0.915248551,-33.36959732,-0.357343548,0.18982462,0.404632917,-5.230255935
3492,28.9736121,198.9288638,299.6255406,44.04420196,66.33913034,-0.559224464,-33.55922446,0.221406794,0.980587002,-0.913409758,-33.37483133,-0.275623431,0.174828586,0.326394409,-5.847972888
3493,28.9776307,198.9175797,299.6162774,44.0417036,66.33707942,-0.663901778,-33.66390178,0.221406794,0.978088637,-0.911358833,-33.37587813,-0.309018535,0.214982708,0.376443913,-4.993859808
3494,28.9895519,198.9162808,299.6164107,44.041416,66.33710892,-0.056974691,-33.05697469,0.221406794,0.977801041,-0.911388335,-33.50166,-0.276681549,0.228671181,0.358947334,-3.551514062
3495,28.9936647,198.9088264,299.6098293,44.03976554,66.33565176,-0.563451823,-33.56345182,0.221406794,0.976150585,-0.909931174,-33.52681638,-0.319240964,0.279985231,0.424625155,-10.1575196
3496,29.0055486,198.9009889,299.6023932,44.03803029,66.33400537,-0.664747249,-33.66474725,0.221406794,0.974415327,-0.908284781,-33.53184765,-0.216256049,0.199978048,0.294546937,-10.53338885
3497,29.0093343,198.8940972,299.5955675,44.03650441,66.3324941,-0.685006335,-33.68500633,0.221406794,0.972889445,-0.906773514,-33.65842641,-0.25777801,0.250915611,0.359733438,-8.656073552
3498,29.021165,198.8883917,299.5896725,44.03524117,66.33118891,-0.689058152,-33.68905815,0.221406794,0.971626213,-0.905468327,-33.68374217,-0.190862489,0.195517435,0.273231691,-7.450100377
3499,29.0255128,198.8838411,299.5847198,44.03423364,66.33009234,-0.689868515,-33.68986852,0.221406794,0.970618677,-0.904371755,-33.68880532,-0.189835283,0.203058678,0.277975289,-7.375310717
3500,29.0371872,198.8803231,299.5806434,44.03345472,66.32918981,-0.690030588,-33.69003059,0.221406794,0.969839763,-0.903469229,-33.68981795,-0.115462126,0.131848756,0.175258657,1.244449477
3501,29.0412852,198.8777155,299.5773813,44.03287739,66.32846756,-0.690063002,-33.690063,0.221406794,0.969262431,-0.902746973,-33.69002047,-0.097458096,0.115228488,0.150916152,3.956706215
3502,29.0542765,198.8758849,299.5748492,44.03247208,66.32790692,-0.690069485,-33.69006949,0.221406794,0.968857116,-0.902186339,-33.56448847,0.121711153,-0.150994376,0.193940471,12.77560288
3503,29.0698508,198.8747062,299.5729344,44.03221112,66.32748298,-0.690070782,-33.69007078,0.221406794,0.968596158,-0.901762395,-33.38660741,0.22829771,-0.283949975,0.36434521,13.46815843
3504,29.0742382,198.8918295,299.5943139,44.03600232,66.33221655,-0.062208492,-33.06220849,0.221406794,0.972387362,-0.906495967,-33.19825654,0.519980887,-0.650536974,0.832813591,13.873904
3505,29.0853963,198.9153249,299.6239203,44.04120437,66.3387716,0.199374708,-32.80062529,0.221406794,0.977589412,-0.913051015,-33.16058637,0.520736038,-0.649352951,0.832361265,9.813091638
3506,29.0892027,198.9379758,299.6524019,44.04621944,66.34507762,0.251691348,-32.74830865,0.221406794,0.982604475,-0.919357036,-33.15305233,0.429450984,-0.522946919,0.67668429,4.331108045
3507,29.1008616,198.9365318,299.6498177,44.04589971,66.34450546,-0.501718615,-33.50171862,0.221406794,0.982284751,-0.918784879,-33.27711803,0.229681463,-0.26986434,0.35437316,-6.822468072
3508,29.1041149,198.929579,299.6401308,44.04436031,66.34236072,-0.652400608,-33.65240061,0.221406794,0.980745352,-0.916640138,-33.32913332,0.279999615,-0.326164225,0.429863799,-9.525014903
3509,29.1168254,198.921844,299.6294236,44.04264775,66.33999007,-0.682537006,-33.68253701,0.221406794,0.979032791,-0.914269482,-33.49230982,0.001226295,0.027140833,0.027168523,-10.02300152
3510,29.1200448,198.9322814,299.642059,44.04495865,66.34278763,-0.060701737,-33.06070174,0.221406794,0.981343688,-0.917067042,-33.5249439,-0.09414448,0.15524792,0.181562936,-7.974881569
3511,29.1328244,198.9278755,299.6357192,44.04398315,66.34138396,-0.564191129,-33.56419113,0.221406794,0.980368193,-0.915663378,-33.53146949,-0.024542599,0.057374384,0.062403198,-6.686765318
3512,29.1360816,198.9204569,299.6255741,44.04234062,66.33913776,-0.664889007,-33.66488901,0.221406794,0.978725662,-0.91341718,-33.53277461,-0.078018815,0.129199926,0.150928978,-5.475911887
3513,29.1492608,198.9130061,299.6154618,44.04069096,66.33689884,-0.685028583,-33.68502858,0.221406794,0.977076001,-0.911178255,-33.65860814,-0.243741525,0.332980043,0.412656807,-3.534212015
3514,29.1529707,198.9062682,299.6063191,44.03919915,66.33487457,-0.689062601,-33.6890626,0.221406794,0.975584187,-0.909153987,-33.68377485,-0.289610231,0.39353018,0.488610364,-3.487484742
3515,29.1647283,198.9003837,299.5983571,44.03789629,66.33311174,-0.689869405,-33.68986941,0.221406794,0.97428133,-0.907391156,-33.68880941,-0.203875879,0.276063769,0.343185924,-3.410605289
3516,29.1683635,198.8953649,299.591583,44.0367851,66.3316119,-0.690024662,-33.69002466,0.221406794,0.973170137,-0.90589132,-33.68981633,-0.216946382,0.293713735,0.365148587,-1.502975356
3517,29.1806508,198.8911691,299.5859069,44.03585611,66.33035518,-0.690061817,-33.69006182,0.221406794,0.972241153,-0.904634598,-33.69001649,-0.145806521,0.197205883,0.245254361,-0.146361058
3518,29.184636,198.8877398,299.5812607,44.03509684,66.32932647,-0.690063145,-33.69006314,0.221406794,0.971481876,-0.903605887,-33.6900553,-0.147511932,0.199837819,0.248384629,-0.060738469
3519,29.1977868,198.8849827,299.5775127,44.03448641,66.32849665,-0.69006341,-33.69006341,0.221406794,0.970871446,-0.90277607,-33.69006306,-0.092784188,0.125994318,0.156471958,-0.005341742
3520,29.2017621,198.8828401,299.5745845,44.03401201,66.32784832,-0.690063463,-33.69006346,0.221406794,0.970397046,-0.902127735,-33.69006339,-0.092724422,0.126024687,0.156460986,-0.002084493
3521,29.2129776,198.8812172,299.5723876,44.03365269,66.32736191,-0.690063474,-33.69006347,0.221406794,0.970037735,-0.901641324,-33.69006346,-0.057246814,0.078005568,0.096757772,-0.000136744
3522,29.2163911,198.8800562,299.5708084,44.03339564,66.32701226,-0.690063476,-33.69006348,0.221406794,0.969780677,-0.90129168,-33.69006347,-0.053424523,0.072667698,0.090192982,-1.87E-05
3523,29.2293847,198.8792853,299.5697498,44.03322495,66.32677789,-0.690063476,-33.69006348,0.221406794,0.969609992,-0.901057308,-33.69006348,-0.030264433,0.041020411,0.050976564,-2.21E-05
3524,29.2330816,198.8788293,299.5691419,44.033124,66.32664329,-0.690063477,-33.69006348,0.221406794,0.969509044,-0.900922702,-33.69006348,-0.023437602,0.032015267,0.039677431,-3.56E-05
3525,29.2452332,198.8786353,299.5688754,44.03308103,66.3265843,-0.690063477,-33.69006348,0.221406794,0.96946607,-0.900863712,-33.6900647,-0.007724817,0.010727307,0.013219225,1.934494125
3526,29.2485678,198.8786668,299.5689004,44.03308802,66.32658982,-0.690063477,-33.69006348,0.221406794,0.969473063,-0.900869235,-33.69006494,-0.001520222,0.002317216,0.002771384,9.039338127
3527,29.2615499,198.8788578,299.5691355,44.03313031,66.32664188,-0.69006958,-33.69006958,0.221406794,0.969515353,-0.900921292,-33.5644937,0.097643371,-0.043312348,0.106818479,8.098422596
3528,29.2652574,198.8791574,299.5695376,44.03319663,66.3267309,-0.690064697,-33.6900647,0.221406794,0.969581668,-0.90101032,-33.43278766,0.226661218,-0.096693875,0.246424457,9.51140043
3529,29.2831344,198.9169863,299.585019,44.04157221,66.33015859,-0.062207275,-33.06220728,0.221406794,0.977957252,-0.904438004,-33.51689139,-0.03538411,-0.003367135,0.035543957,14.0577283
3530,29.2958414,198.9538064,299.6000588,44.04972442,66.3334885,-0.031533252,-33.03153325,0.221406794,0.986109464,-0.907767913,-33.42711912,0.070952204,-0.047971188,0.085647243,9.694154582
3531,29.3013204,198.921435,299.5885523,44.04255718,66.33094089,-1.110582163,-34.11058216,0.221406794,0.978942222,-0.905220302,-33.30257287,0.443615652,-0.196921635,0.485358607,1.427655095
3532,29.3096087,198.9414603,299.5970511,44.04699092,66.33282258,-0.241208229,-33.24120823,0.221406794,0.983375957,-0.907101996,-33.40323613,0.380681696,-0.218469692,0.438916348,3.94185858
3533,29.3130749,198.9709112,299.6090864,44.05351155,66.33548727,-0.067333443,-33.06733344,0.221406794,0.989896587,-0.90976669,-33.42336878,0.489436437,-0.281623824,0.564676902,3.548857661
3534,29.3266029,198.980311,299.6273845,44.05559272,66.3395386,-0.565523573,-33.56552357,0.221406794,0.991977761,-0.913818019,-33.31695159,0.765547689,-0.434031732,0.880026595,-0.570441572
3535,29.3307763,199.0026537,299.6382762,44.06053956,66.34195009,-0.132196512,-33.13219651,0.221406794,0.996924603,-0.916229509,-33.29566815,0.8714507,-0.473029096,0.991555771,9.124721886
3536,29.3416594,199.0062138,299.6528781,44.06132779,66.34518305,-0.578496187,-33.57849619,0.221406794,0.997712831,-0.919462466,-33.27243197,0.58089545,-0.342139181,0.674165219,10.71423923
3537,29.3452437,199.023446,299.65971,44.06514311,66.34669569,-0.134791034,-33.13479103,0.221406794,1.001528154,-0.920975101,-33.14221222,0.80428461,-0.341060954,0.873611074,14.99521535
3538,29.3574177,199.047003,299.6659956,44.0703588,66.34808736,0.048847457,-32.95115254,0.221406794,1.006743835,-0.92236678,-33.11616827,0.614321205,-0.231033345,0.656328385,12.58944272
