frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,angle_deg,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
986,8.1662281,219.4885647,290.4949448,49.47900133,65.48587067,0.597443854,-11.40255615,0.225428607,-0.001992603,-1.24E-05,-11.42568178,-0.002100198,-0.028514674,0.028591913,-161.2729949
987,8.1759713,219.4898398,290.4958752,49.47928879,65.4860804,0.671545656,-11.32845434,0.225428607,-0.001705148,-0.000222176,-11.42567591,-0.004792915,-0.017694128,0.018331781,-27.51890386
988,8.1799603,219.4914747,290.4967944,49.47965733,65.48628762,0.686366016,-11.31363398,0.225428607,-0.001336604,-0.000429398,-11.3330783,0.036382902,-0.028727036,0.046356856,1.498748086
989,8.192759,219.4930736,290.4976193,49.48001777,65.48647358,0.689330088,-11.31066991,0.225428607,-0.000976167,-0.000615354,-11.31455877,0.048352824,-0.026353826,0.055068319,1.153503662
990,8.1979352,219.4945376,290.4983291,49.4803478,65.48663358,0.689922902,-11.3100771,0.225428607,-0.000646133,-0.000775356,-11.40345131,-0.027940843,-0.005341567,0.028446846,1.018819704
991,8.2082716,219.4958192,290.4989185,49.4806367,65.48676646,0.690041465,-11.30995853,0.225428607,-0.000357239,-0.00090823,-11.42122981,-0.047207288,0.004600807,0.047430955,-5.378587514
992,8.2135564,219.4875679,290.4969602,49.47877663,65.48632499,0.227083,-11.772917,0.225428607,-0.002217305,-0.00046676,-11.42478551,-0.037002052,0.002264457,0.037071277,-6.453005269
993,8.2241912,219.4873819,290.4970657,49.4787347,65.48634877,0.597473485,-11.40252652,0.225428607,-0.00225923,-0.000490544,-11.51809309,-0.011609064,0.030110086,0.032270538,-1.44379725
994,8.2289456,219.4890521,290.4976185,49.4791112,65.48647339,0.671551582,-11.32844842,0.225428607,-0.001882737,-0.000615162,-11.5367546,0.003862362,0.034278775,0.034495684,-0.504225052
995,8.2402332,219.498602,290.4921948,49.48126402,65.48525075,0.223385023,-11.77661498,0.225428607,0.000270087,0.000607479,-11.44789047,0.078857347,0.012835579,0.079895139,-0.294982065
996,8.2462015,219.50139,290.4919833,49.48189252,65.48520307,0.596733889,-11.40326611,0.225428607,0.000898587,0.000655157,-11.43011765,0.080758772,0.009938687,0.081368033,2.602507519
997,8.255721,219.5023617,290.4929833,49.48211156,65.48542849,0.671403663,-11.32859634,0.225428607,0.001117627,0.000429732,-11.42656308,0.066839762,0.00122025,0.066850899,-0.595071011
998,8.2720516,219.5027648,290.4941946,49.48220244,65.48570156,0.686337617,-11.31366238,0.225428607,0.001208505,0.000156671,-11.33325573,0.028757363,-0.024368596,0.037693691,-3.962865872
999,8.2757645,219.5029228,290.4953443,49.48223806,65.48596073,0.689324408,-11.31067559,0.225428607,0.001244124,-0.000102502,-11.4071907,-0.144947746,-0.0186549,0.146143267,-5.62214256
1000,8.2877409,219.5029394,290.496387,49.4822418,65.48619579,0.689921766,-11.31007823,0.225428607,0.001247869,-0.000337563,-11.51457413,-0.175562151,-0.003666938,0.175600442,-5.768449377
1001,8.291779,219.4892679,290.4957322,49.47915985,65.48604817,0.22705906,-11.77294094,0.225428607,-0.001834087,-0.000189943,-11.53605081,-0.171005802,-0.005221929,0.171085514,-12.06677636
1002,8.3037726,219.4823481,290.493005,49.47759993,65.48543338,0.134486519,-11.86551348,0.225428607,-0.003394002,0.000424843,-11.54034615,-0.165132665,0.004837615,0.16520351,-6.902891827
1003,8.307398,219.482804,290.493399,49.4777027,65.48552219,0.578954189,-11.42104581,0.225428607,-0.003291234,0.000336036,-11.63380165,-0.253922238,0.025539601,0.255203398,0.996904578
1004,8.3199107,219.4849664,290.4944816,49.47819018,65.48576626,0.667847722,-11.33215228,0.225428607,-0.002803754,9.20E-05,-11.55989632,-0.096992346,0.015501206,0.098223228,2.407643829
1005,8.3234275,219.4780455,290.493173,49.47663,65.48547126,0.222644252,-11.77735575,0.225428607,-0.00436393,0.000386969,-11.45251881,-0.026648935,-0.011475092,0.029014538,2.762374177
1006,8.335804,219.4792221,290.4939216,49.47689524,65.48564001,0.596585735,-11.40341426,0.225428607,-0.004098698,0.000218215,-11.43104331,-0.021091253,-0.010569253,0.023591313,7.931458165
1007,8.3388383,219.4822056,290.4950472,49.4775678,65.48589375,0.671374032,-11.32862597,0.225428607,-0.003426131,-3.55E-05,-11.42674821,0.004424641,-0.017841513,0.018381976,2.130327368
1008,8.3515766,219.4853776,290.4961754,49.47828287,65.48614809,0.686331691,-11.31366831,0.225428607,-0.002711066,-0.00028986,-11.42588919,0.037655957,-0.035357028,0.051653562,-4.275999177
1009,8.3555778,219.4883335,290.497167,49.47894922,65.48637162,0.689323223,-11.31067678,0.225428607,-0.002044713,-0.000513394,-11.51831383,-0.134320066,-0.021287633,0.135996483,-4.827272312
1010,8.3679101,219.4731538,290.4973691,49.47552727,65.48641719,0.226939352,-11.77306065,0.225428607,-0.005466662,-0.000558958,-11.53679875,-0.171256379,-0.006278924,0.171371445,-5.12263687
1011,8.3715304,219.4596886,290.4964584,49.47249183,65.48621187,0.134462577,-11.86553742,0.225428607,-0.008502102,-0.000353644,-11.54049574,-0.11217595,-0.01148167,0.112762017,0.176858668
1012,8.383591,219.4616667,290.4969173,49.47293775,65.48631533,0.5789494,-11.4210506,0.225428607,-0.008056184,-0.000457105,-11.54123513,-0.125138992,-0.002684186,0.125167776,5.082858502
1013,8.3870711,219.4670936,290.4976272,49.47416114,65.48647535,0.667846765,-11.33215324,0.225428607,-0.006832799,-0.000617121,-11.44878658,0.003277021,-0.00973288,0.010269752,5.602049543
