frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
49,0.40833169999999996,373.52066063968743,629.1880319891809,249.0137737597916,419.45868799278725,84.19433918025953,0.6666666666666666,0.0,0.0,50.53312555505322,,,,
50,0.416665,373.5162065483457,629.1864384409553,249.01080436556376,419.4576256273035,84.19340309909208,0.6666666666666666,-0.002969394227847033,-0.0010623654837331742,67.37035901593954,,,,
51,0.4249983,373.512264814039,629.1852448188777,249.00817654269264,419.45682987925176,84.27788549591449,0.6666666666666666,-0.005597217098966212,-0.001858113535490702,84.22576245605059,,,,
52,0.4333316,373.5090069279163,629.1875923258591,249.00600461861086,419.458394883906,84.18616730443162,0.6666666666666666,-0.0077691411807450095,-0.00029310888123745826,84.2275595123042,808.2050706289559,-0.2616384798870543,0.0689970282002279,0.27058322944719165
53,0.44166489999999997,373.50613695837694,629.1898432556171,249.0040913055846,419.4598955037447,84.27701720055522,0.6666666666666666,-0.009682454206995317,0.001207510957442537,84.21027613561712,404.1867328515398,-0.2302890166247892,0.1582700677855604,0.2794323630771109
54,0.4499982,373.5043083001041,629.1923442861942,249.0028722000694,419.46156285746275,84.20332446152756,0.6666666666666666,-0.01090155972221396,0.0028748646755047957,84.20820213041468,-0.8242531718930539,-0.13842804537692432,0.17780362641962605,0.22533631157637635
55,0.4583315,373.50181354237884,629.1963302806244,249.00120902825256,419.4642201870829,84.10698621565673,0.6666666666666666,-0.012564731539043805,0.0055321942956538805,84.2114055202982,-723.288626656339,-0.05969502658968242,0.19052862126931183,0.19966134258370535
56,0.4666648,373.50361309580995,629.196357501078,249.00240873053994,419.46423833405197,84.26751546990224,0.6666666666666666,-0.011365029251663827,0.005550341264722647,84.1914187112639,-1473.7295738381752,0.021551239127440842,0.17127029364129828,0.17262088341769277
57,0.4749981,373.5052760036782,629.1995003170563,249.00351733578546,419.4663335447041,84.2021842538492,0.6666666666666666,-0.010256424006144016,0.007645551916880322,54.09065394972789,-2222.114350807914,-0.08230720707040204,-3.421554690248875,3.4225445175628915
58,0.48333139999999997,373.5074839054346,629.2005476061521,249.0049892702897,419.4670317374347,84.17708315538378,0.6666666666666666,-0.008784489501891812,0.008343744647447693,22.805122847288885,-2948.8355353273755,-6.729717434813933,-126.83541477062144,127.0138241955891
59,0.4916647,373.499164120239,628.9784979734422,248.999442746826,419.3189986489615,-66.30049934615253,0.6666666666666666,-0.0143310129656129,-0.1396893438257507,-8.379525467523331,-3650.71227662902,0.6570138944147077,-269.86945035776984,269.8702501270977
60,0.499998,373.08120788513236,621.2691485663142,248.7208052567549,414.1794323775428,-72.3206692965383,0.6666666666666666,-0.2929685030367182,-5.279255615244438,-38.65625031241994,-2900.362582283162,16.72031046572564,-454.65262600031224,454.95997528469474
61,0.5083313,373.54467629995736,612.3295843210799,249.02978419997157,408.2197228807199,-71.65572610415882,0.6666666666666666,0.016010440179968555,-11.23896511206732,-67.92098436289933,-2083.854955774787,45.147670253352466,-682.6132226551102,684.1046147139343
62,0.5166646,374.55029122770844,600.7838248551932,249.70019415180562,400.5225499034621,-67.18143997063382,0.6666666666666666,0.6864203920140142,-18.93613808932514,-66.7573035849737,-1274.62028615494,88.0194848046846,-925.858260661813,930.0327674555342
