time_s,25k_50k_84.88deg
0,0.39840399
2.00E-08,0.400191208
4.00E-08,0.401962673
6.00E-08,0.403718362
8.00E-08,0.405458253
1.00E-07,0.407182324
1.20E-07,0.408890551
1.40E-07,0.410582916
1.60E-07,0.412259397
1.80E-07,0.413919975
2.00E-07,0.41556463
2.20E-07,0.417193345
2.40E-07,0.418806101
2.60E-07,0.420402881
2.80E-07,0.421983669
3.00E-07,0.423548449
3.20E-07,0.425097205
3.40E-07,0.426629923
3.60E-07,0.428146588
3.80E-07,0.429647188
4.00E-07,0.431131709
4.20E-07,0.43260014
4.40E-07,0.434052468
4.60E-07,0.435488683
4.80E-07,0.436908774
5.00E-07,0.438312732
5.20E-07,0.439700547
5.40E-07,0.441072212
5.60E-07,0.442427719
5.80E-07,0.44376706
6.00E-07,0.445090228
6.20E-07,0.446397218
6.40E-07,0.447688025
6.60E-07,0.448962644
6.80E-07,0.45022107
7.00E-07,0.451463301
7.20E-07,0.452689333
7.40E-07,0.453899165
7.60E-07,0.455092794
7.80E-07,0.456270221
8.00E-07,0.457431443
8.20E-07,0.458576463
8.40E-07,0.459705281
8.60E-07,0.460817898
8.80E-07,0.461914316
9.00E-07,0.462994539
9.20E-07,0.464058569
9.40E-07,0.465106411
9.60E-07,0.46613807
9.80E-07,0.46715355
1.00E-06,0.468152858
1.02E-06,0.469136
1.04E-06,0.470102983
1.06E-06,0.471053815
1.08E-06,0.471988504
1.10E-06,0.472907059
1.12E-06,0.47380949
1.14E-06,0.474695807
1.16E-06,0.47556602
1.18E-06,0.476420142
1.20E-06,0.477258184
1.22E-06,0.478080158
1.24E-06,0.478886079
1.26E-06,0.479675959
1.28E-06,0.480449814
1.30E-06,0.481207657
1.32E-06,0.481949506
1.34E-06,0.482675375
1.36E-06,0.483385283
1.38E-06,0.484079246
1.40E-06,0.484757283
1.42E-06,0.485419411
1.44E-06,0.486065651
1.46E-06,0.486696022
1.48E-06,0.487310545
1.50E-06,0.48790924
1.52E-06,0.488492129
1.54E-06,0.489059235
1.56E-06,0.48961058
1.58E-06,0.490146187
1.60E-06,0.490666081
1.62E-06,0.491170286
1.64E-06,0.491658827
1.66E-06,0.49213173
1.68E-06,0.492589021
1.70E-06,0.493030727
1.72E-06,0.493456876
1.74E-06,0.493867495
1.76E-06,0.494262613
1.78E-06,0.49464226
1.80E-06,0.495006464
1.82E-06,0.495355257
1.84E-06,0.495688668
1.86E-06,0.496006731
1.88E-06,0.496309476
1.90E-06,0.496596936
1.92E-06,0.496869144
1.94E-06,0.497126134
1.96E-06,0.497367941
1.98E-06,0.497594599
2.00E-06,0.497806142
2.02E-06,0.498002609
2.04E-06,0.498184033
2.06E-06,0.498350454
2.08E-06,0.498501908
2.10E-06,0.498638433
2.12E-06,0.498760068
2.14E-06,0.498866853
2.16E-06,0.498958826
2.18E-06,0.499036028
2.20E-06,0.499098501
2.22E-06,0.499146284
2.24E-06,0.499179421
2.26E-06,0.499197953
2.28E-06,0.499201924
2.30E-06,0.499191376
2.32E-06,0.499166354
2.34E-06,0.499126902
2.36E-06,0.499073065
2.38E-06,0.49900489
2.40E-06,0.49892242
2.42E-06,0.498825704
2.44E-06,0.498714789
2.46E-06,0.498589721
2.48E-06,0.498450549
2.50E-06,0.498297321
2.52E-06,0.498130087
2.54E-06,0.497948896
2.56E-06,0.497753798
2.58E-06,0.497544844
2.60E-06,0.497322084
2.62E-06,0.49708557
2.64E-06,0.496835354
2.66E-06,0.496571489
2.68E-06,0.496294027
2.70E-06,0.496003022
2.72E-06,0.495698529
2.74E-06,0.4953806
2.76E-06,0.495049291
2.78E-06,0.494704658
