frame,t_s,x_px,y_px,vx_px_s,vy_px_s
0,0.0,257.0,371.0,0.0,0.0
1,0.033387230514096186,263.0,374.0,179.70942505898424,89.85471252949212
2,0.06677446102819237,263.0,374.0,0.0,0.0
3,0.10016169154228856,263.0,374.0,0.0,0.0
4,0.13354892205638474,263.0,374.0,0.0,0.0
5,0.16693615257048092,262.5,374.0,-14.97578542158202,0.0
6,0.20032338308457712,262.5,374.0,0.0,0.0
7,0.2337106135986733,262.5,374.0,0.0,0.0
8,0.2670978441127695,262.5,374.0,0.0,0.0
9,0.3004850746268657,262.5,374.0,0.0,0.0
10,0.33387230514096183,262.5,374.0,0.0,0.0
11,0.36725953565505803,262.5,374.0,0.0,0.0
12,0.40064676616915423,262.5,374.0,0.0,0.0
13,0.43403399668325043,262.5,374.0,0.0,0.0
14,0.4674212271973466,262.5,374.0,0.0,0.0
15,0.5008084577114428,262.5,374.0,0.0,0.0
16,0.534195688225539,262.5,374.0,0.0,0.0
17,0.5675829187396352,262.5,374.0,0.0,0.0
18,0.6009701492537314,262.5,374.0,0.0,0.0
19,0.6343573797678276,262.5,374.0,0.0,0.0
20,0.6677446102819237,262.5,374.0,0.0,0.0
21,0.7011318407960199,262.5,374.0,0.0,0.0
22,0.7345190713101161,262.5,374.0,0.0,0.0
23,0.7679063018242123,262.5,374.0,0.0,0.0
24,0.8012935323383085,262.5,374.0,0.0,0.0
25,0.8346807628524047,263.5,374.0,29.95157084316404,0.0
26,0.8680679933665009,263.5,374.5,0.0,14.97578542158202
27,0.901455223880597,263.5,374.0,0.0,-14.97578542158202
28,0.9348424543946932,263.5,374.5,0.0,14.97578542158202
29,0.9682296849087894,262.5,374.5,-29.95157084316404,0.0
30,1.0016169154228856,261.0,374.5,-44.92735626474606,0.0
31,1.0350041459369816,261.0,374.5,0.0,0.0
32,1.068391376451078,262.0,374.5,29.95157084316404,0.0
33,1.101778606965174,262.0,374.5,0.0,0.0
34,1.1351658374792704,262.0,374.5,0.0,0.0
35,1.1685530679933664,262.0,374.5,0.0,0.0
36,1.2019402985074628,262.0,374.0,0.0,-14.97578542158202
37,1.2353275290215588,262.0,374.0,0.0,0.0
38,1.2687147595356552,262.0,374.5,0.0,14.97578542158202
39,1.3021019900497512,262.0,374.0,0.0,-14.97578542158202
40,1.3354892205638473,262.0,374.0,0.0,0.0
41,1.3688764510779436,262.0,374.0,0.0,0.0
42,1.4022636815920397,262.0,374.0,0.0,0.0
43,1.435650912106136,262.0,374.0,0.0,0.0
44,1.4690381426202321,262.0,374.5,0.0,14.97578542158202
45,1.5024253731343284,263.0,374.5,29.95157084316404,0.0
46,1.5358126036484245,262.0,374.5,-29.95157084316404,0.0
47,1.5691998341625206,262.0,374.5,0.0,0.0
48,1.602587064676617,262.0,374.5,0.0,0.0
49,1.635974295190713,262.5,374.5,14.97578542158202,0.0
50,1.6693615257048093,262.5,372.5,0.0,-59.90314168632808
51,1.7027487562189054,262.5,372.5,0.0,0.0
52,1.7361359867330017,262.5,374.5,0.0,59.90314168632808
53,1.7695232172470978,262.5,374.5,0.0,0.0
54,1.802910447761194,262.5,374.5,0.0,0.0
55,1.8362976782752902,262.5,374.0,0.0,-14.97578542158202
56,1.8696849087893863,262.5,374.5,0.0,14.97578542158202
57,1.9030721393034826,262.5,374.5,0.0,0.0
58,1.9364593698175787,262.5,374.5,0.0,0.0
59,1.969846600331675,262.5,374.5,0.0,0.0
60,2.003233830845771,262.5,374.5,0.0,0.0
61,2.036621061359867,262.5,374.5,0.0,0.0
62,2.0700082918739633,262.5,374.5,0.0,0.0
63,2.10339552238806,262.5,374.5,0.0,0.0
64,2.136782752902156,266.0,374.5,104.83049795107414,0.0
65,2.170169983416252,262.0,374.0,-119.80628337265615,-14.97578542158202
66,2.203557213930348,261.0,372.5,-29.95157084316404,-44.92735626474606
67,2.2369444444444446,260.5,374.0,-14.97578542158202,44.92735626474606
68,2.2703316749585407,260.5,373.5,0.0,-14.97578542158202
69,2.303718905472637,260.0,373.5,-14.97578542158202,0.0
70,2.337106135986733,260.0,374.0,0.0,14.97578542158202
71,2.370493366500829,260.0,374.0,0.0,0.0
72,2.4038805970149255,261.0,373.5,29.95157084316404,-14.97578542158202
73,2.4372678275290216,261.0,374.0,0.0,14.97578542158202
